iter	Passed	Remaining
0	59	59928
1	60	30142
2	60	20221
3	61	15239
4	61	12235
5	61	10242
6	62	8806
7	62	7757
8	62	6925
9	63	6257
10	63	5715
11	63	5261
12	64	4877
13	64	4546
14	64	4260
15	65	4003
16	65	3782
17	65	3585
18	66	3409
19	66	3255
20	66	3111
21	67	2982
22	67	2865
23	67	2758
24	68	2658
25	68	2565
26	68	2478
27	69	2396
28	69	2322
29	69	2252
30	69	2187
31	70	2125
32	70	2067
33	70	2011
34	71	1961
35	71	1912
36	71	1865
37	72	1823
38	72	1782
39	72	1743
40	72	1705
41	73	1670
42	73	1639
43	74	1608
44	74	1577
45	74	1546
46	74	1517
47	75	1491
48	75	1465
49	75	1440
50	76	1415
51	76	1391
52	76	1368
53	76	1346
54	77	1325
55	77	1306
56	77	1288
57	78	1268
58	78	1251
59	78	1234
60	79	1217
61	79	1201
62	79	1186
63	80	1172
64	80	1158
65	80	1142
66	81	1128
67	81	1112
68	81	1100
69	81	1086
70	82	1073
71	82	1060
72	82	1048
73	82	1036
74	83	1025
75	83	1015
76	83	1005
77	84	995
78	84	985
79	84	975
80	85	966
81	85	956
82	85	947
83	86	938
84	86	927
85	86	919
86	86	909
87	87	901
88	87	893
89	87	886
90	87	878
91	88	872
92	88	864
93	88	857
94	89	850
95	89	844
96	89	837
97	90	831
98	90	826
99	91	819
100	91	812
101	91	804
102	91	798
103	92	792
104	92	787
105	92	781
106	92	775
107	93	769
108	93	763
109	93	758
110	94	753
111	94	748
112	94	743
113	95	738
114	95	734
115	95	729
116	96	724
117	96	721
118	96	715
119	96	710
120	97	705
121	97	701
122	97	695
123	97	690
124	98	686
125	98	682
126	98	678
127	98	673
128	99	669
129	99	665
130	99	661
131	100	657
132	100	654
133	100	651
134	101	647
135	101	643
136	101	639
137	101	635
138	102	632
139	102	628
140	102	624
141	102	621
142	103	618
143	103	615
144	103	612
145	104	609
146	104	606
147	104	603
148	105	600
149	105	597
150	105	595
151	106	592
152	106	589
153	106	586
154	107	584
155	107	581
156	107	578
157	108	576
158	108	573
159	108	571
160	109	568
161	109	566
162	109	563
163	110	561
164	110	558
165	110	556
166	110	553
167	111	551
168	111	548
169	111	546
170	112	543
171	112	541
172	112	538
173	113	536
174	113	534
175	113	531
176	113	529
177	114	527
178	114	525
179	114	522
180	114	519
181	115	517
182	115	515
183	115	512
184	115	510
185	116	509
186	116	507
187	117	505
188	117	503
189	117	501
190	118	500
191	118	497
192	118	496
193	118	494
194	119	492
195	119	490
196	119	488
197	120	486
198	120	484
199	120	482
200	121	481
201	121	479
202	121	477
203	121	475
204	122	473
205	122	472
206	122	470
207	122	468
208	123	466
209	123	464
210	123	462
211	124	461
212	124	460
213	124	458
214	125	457
215	125	456
216	126	454
217	126	453
218	126	452
219	127	450
220	127	449
221	127	447
222	128	446
223	128	444
224	128	443
225	129	442
226	129	440
227	129	439
228	129	437
229	130	436
230	130	435
231	131	433
232	131	432
233	131	431
234	132	430
235	132	429
236	132	428
237	133	426
238	133	425
239	133	424
240	134	422
241	134	421
242	134	420
243	135	419
244	135	418
245	136	416
246	136	415
247	136	414
248	137	413
249	137	412
250	137	411
251	138	409
252	138	408
253	138	407
254	138	406
255	139	404
256	139	404
257	140	403
258	140	401
259	140	400
260	141	399
261	141	398
262	141	397
263	142	396
264	142	395
265	142	394
266	143	393
267	143	392
268	143	391
269	144	390
270	144	389
271	144	387
272	145	386
273	145	385
274	145	384
275	146	383
276	146	382
277	146	381
278	147	379
279	147	378
280	147	378
281	148	377
282	148	376
283	148	375
284	149	374
285	149	373
286	149	372
287	150	371
288	150	370
289	150	369
290	151	368
291	151	367
292	151	366
293	152	365
294	152	364
295	152	363
296	152	362
297	153	361
298	153	360
299	153	359
300	154	358
301	154	356
302	154	355
303	155	354
304	155	353
305	155	352
306	155	351
307	156	351
308	156	350
309	156	349
310	157	348
311	157	346
